Electricty Consumption,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,EC_2010,EC_2011,EC_2012,EC_2013,EC_2014,2015,2016
Congo (Kinshasa),Billion Kwh,3.921,3.614,3.561,3.864,4.057,4.366,4.559,4.534,4.672,4.829,4.42,4.384,4.207,3.926,4.031,4.479,4.676,4.386,4.141,4.357,4.53882,4.5667,4.41352,4.57658,4.60852,4.82758,5.6778,6.06784,6.03624,6.5889,6.67384,7.12772,7.68356,8.29096,7.93624,7.20194,7.43016
Cook Islands,Billion Kwh,0.0093,0.01023,0.0093,0.00837,0.0093,0.01023,0.01116,0.01209,0.01209,0.01302,0.01395,0.01395,0.014043,0.014043,0.014043,0.017763,0.017763,0.017763,0.017763,0.019623,0.022413,0.022413,0.024273,0.025203,0.0252309,0.0252309,0.0280209,0.0289509,0.0298809,0.0289509,0.0298809,0.0298809,0.027993,0.028644,0.02976,0.03069,0.03162
Costa Rica,Billion Kwh,1.879,2.133,2.05,2.201,2.362,2.547,2.738,3.099,3.039,3.177,3.305,3.553,4.204,4.529,4.771,4.28,4.494,5.029,4.84,5.517,5.90046,6.129,6.26068,6.58258,6.84404,7.27274,7.80891,8.18535,8.31738,8.24294,8.53154,8.60822,8.9872,9.05824,9.18542,9.45752,9.81242
Cote dIvoire (IvoryCoast),Billion Kwh,1.433,1.573,1.607,1.683,1.319,1.68,1.719,2.021,1.863,2.092,1.857,1.463,1.293,1.758,2.014,2.519,2.279,2.459,2.724,2.629,2.66284,2.8679,2.8131,2.8557,2.8844,2.89188,3.15122,3.34606,3.59016,3.7815,4.14432,3.86934,4.73334,4.77744,5.82782,5.67276,6.24494
Croatia,Billion Kwh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.991,9.858,10.092,10.448,10.11,11.507,12.963,12.179,12.18404,12.34516,12.74052,12.83796,13.5151,14.23518,14.97544,15.45288,16.10266,15.28908,16.37912,16.3507,15.95914,15.46968,15.47806,15.86332,15.93394
Cuba,Billion Kwh,9.493,9.973,10.316,10.443,11.06,10.891,11.754,12.036,12.767,13.245,12.316,10.361,10.341,9.278,9.245,9.437,10.1,10.747,10.751,11.3231,11.82116,12.06946,12.39386,12.50338,12.337404,12.11686,12.86146,13.630066,13.86138,13.97112,13.61762,13.94378,14.46336,15.10058,15.29172,15.98478,16.16212
Cyprus,Billion Kwh,0.904,0.923,0.99,1.076,1.1,1.164,1.249,1.331,1.461,1.627,1.746,1.818,2.102,2.296,2.395,2.21,2.2875,2.375,2.601,2.755,2.98,3.105,3.391,3.65,3.735,3.95,4.152,4.364,4.622,4.667,4.78606,4.48394,4.3124,3.86822,3.92902,4.0689,4.35522
Czech Republic,Billion Kwh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.63235,50.37085,53.14985,55.006,54.89039,53.983,52.193,53.637,55.48092,55.41756,56.7624,58.1821,59.30822,61.0812,61.48862,62.17362,58.80644,61.04,60.39836,60.47146,60.1675,60.18548,61.3293,62.33942
Denmark,Billion Kwh,21.959,22.198,22.614,22.801,22.523,23.927,26.777,27.795,27.761,28.361,28.868,29.92,30.492,30.788,31.391,31.453,31.911,32.452,32.28073,32.573,32.78184,32.88744,33.20028,33.3268,33.92788,34.55092,34.97284,34.72604,34.356,32.82,33.56184,33.1318,32.85696,32.8284,32.25686,32.52538,33.01776
Djibouti,Billion Kwh,0.1023,0.10695,0.11439,0.12927,0.12741,0.14322,0.1488,0.14973,0.15252,0.15345,0.15624,0.15717,0.15717,0.15903,0.15903,0.16089,0.16182,0.16368,0.16368,0.16368,0.1674,0.16647,0.17484,0.17484,0.18786,0.2232,0.24459,0.28272,0.29667,0.30504,0.33108,0.35991,0.365955,0.374325,0.374325,0.377115,0.377115
